Sim_ID,Seed,Population,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD,DI
531,1,257,0.05,4,1,0.3,constant,0.9,openly-listen,95.8,98.6,1.02,97.7,0.15,1.16
532,1,257,0.05,4,1,0.3,constant,0.9,vaguely-speak,95.8,98.6,1.02,97.7,0.15,1.16
533,1,257,0.05,4,1,0.3,constant,1,openly-listen,98.5,99.4,1.01,99.2,0.091,0.618
534,1,257,0.05,4,1,0.3,constant,1,vaguely-speak,98.5,99.4,1.01,99.2,0.091,0.618
535,1,257,0.05,4,1,0.3,uniform,0.5,openly-listen,75.3,89.2,1.25,79.9,0.15,3.931
536,1,257,0.05,4,1,0.3,uniform,0.5,vaguely-speak,100,99.8,1,100,0,0
537,1,257,0.05,4,1,0.3,uniform,0.9,openly-listen,33.9,59.5,2.79,35.5,0.291,13.617
538,1,257,0.05,4,1,0.3,uniform,0.9,vaguely-speak,100,99.8,1,100,0,0
539,1,257,0.05,4,1,0.3,uniform,1,openly-listen,28.5,48.5,4.19,23.6,0.281,15.882
540,1,257,0.05,4,1,0.3,uniform,1,vaguely-speak,100,99.8,1,100,0.003,0.199
577,1,257,0.05,16,1,0.1,constant,0.5,openly-listen,51.3,57.7,2.97,33.4,0.458,27.442
578,1,257,0.05,16,1,0.1,constant,0.5,vaguely-speak,51.3,57.7,2.97,33.4,0.458,27.442
579,1,257,0.05,16,1,0.1,constant,0.9,openly-listen,54.9,58.8,2.86,34.7,0.472,27.967
