"search-number","evaluation","evals-requested-so-far","n-agents*","opinions*","model*","set-seed?*","avoid_seed_control?*","conformity-level*","conformity-std*","conformity-drawn*","boundary*","boundary-std*","boundary-drawn*","mean-opinion-sigmoid-steepness*","std-opinion-sigmoid-steepness*","opinion_sigmoid?*","id_threshold*","id_threshold-std*","threshold_drawn*","mean-identity-sigmoid-xoffset*","std-identity-sigmoid-xoffset*","mean-identity-sigmoid-steepness*","std-identity-sigmoid-steepness*","identity_sigmoid?*","use_identity?*","identity_type*","identity_levels*","min_id_level*","max_id_level*","maxsteepness*","updating*","record-length*","max-ticks*","centroids_change*","centroid_color?*","killing_centroids?*","polarisation-each-n-steps*","polar_repeats*","d_threshold*","esbg_furthest_out*","normalize_distances?*","show_dice_rolls?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"32","60","60","129","2","""HK""","false","true","0.262","0.08600000000000001","""normal""","0.243","0.111","""normal""","0.704","0.5660000000000001","true","0.2","0.729","""normal""","0.421","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""92247215""","0.034","0.034","0.034","0","0.034"
"32","61","65","129","2","""HK""","false","true","0.155","0.053","""normal""","0.243","0.258","""normal""","0.704","0.5660000000000001","true","0.30000000000000004","0.729","""normal""","0.355","0.737","0.305","0.784","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""180921050""","0.013","0.013","0.013","0","0.013"
"32","62","65","129","2","""HK""","false","true","0.155","0.053","""normal""","0.243","0.258","""normal""","0.704","0.5660000000000001","true","0.30000000000000004","0.729","""normal""","0.355","0.737","0.305","0.784","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""325836967""","0.057","0.057","0.057","0","0.057"
"32","63","65","129","2","""HK""","false","true","0.155","0.053","""normal""","0.243","0.258","""normal""","0.704","0.5660000000000001","true","0.30000000000000004","0.729","""normal""","0.355","0.737","0.305","0.784","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""1636958444""","0.008","0.008","0.008","0","0.008"
"32","64","65","129","2","""HK""","false","true","0.155","0.053","""normal""","0.243","0.258","""normal""","0.704","0.5660000000000001","true","0.30000000000000004","0.729","""normal""","0.355","0.737","0.305","0.784","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""1776499197""","0.018","0.018","0.018","0","0.018"
"32","65","65","129","2","""HK""","false","true","0.155","0.053","""normal""","0.243","0.258","""normal""","0.704","0.5660000000000001","true","0.30000000000000004","0.729","""normal""","0.355","0.737","0.305","0.784","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-16269840""","0.034","0.034","0.034","0","0.034"
"32","66","70","129","2","""HK""","false","true","0.155","0.098","""normal""","0.243","0","""normal""","0.642","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-10968845""","0","0","0","0","0"
"32","67","70","129","2","""HK""","false","true","0.155","0.098","""normal""","0.243","0","""normal""","0.642","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-304751492""","0","0","0","0","0"
"32","68","70","129","2","""HK""","false","true","0.155","0.098","""normal""","0.243","0","""normal""","0.642","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1255924008""","0","0","0","0","0"
"32","69","70","129","2","""HK""","false","true","0.155","0.098","""normal""","0.243","0","""normal""","0.642","0.5660000000000001","true","0.2","0.729","""normal""","0.355","0.737","0.422","0.8300000000000001","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""901162326""","0","0","0","0","0"
