"search-number","evaluation","evals-requested-so-far","conformity-level*","conformity-drawn*","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","network-change*","random-network-change?*","n_centroids*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","polarisation-each-n-steps*","polar_repeats*","opinions*","model*","record-each-n-steps*","avoid-redundancies?*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","construct-name?*","record?*","max-ticks*","hk-benchmark?*","n-agents*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"2","3","25","0.2","""uniform""","35","0.15","0.9520000000000001","""uniform""","0.14","""uniform""","""vaguely-speak""","0.54","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""636591746""","0.178","0.178","0.178","0","0.178"
"2","4","25","0.2","""uniform""","35","0.15","0.9520000000000001","""uniform""","0.14","""uniform""","""vaguely-speak""","0.54","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1596079707""","0.072","0.072","0.072","0","0.072"
"2","5","25","0.2","""uniform""","35","0.15","0.9520000000000001","""uniform""","0.14","""uniform""","""vaguely-speak""","0.54","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""948447367""","0.269","0.269","0.269","0","0.269"
"2","6","25","0.15000000000000002","""uniform""","62","0.12","0.002","""uniform""","0.28","""uniform""","""vaguely-speak""","0.6","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-595559348""","0.088","0.088","0.088","0","0.088"
"2","7","25","0.15000000000000002","""uniform""","62","0.12","0.002","""uniform""","0.28","""uniform""","""vaguely-speak""","0.6","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-1645967733""","0.054","0.054","0.054","0","0.054"
"2","8","25","0.15000000000000002","""uniform""","62","0.12","0.002","""uniform""","0.28","""uniform""","""vaguely-speak""","0.6","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1439497487""","0.058","0.058","0.058","0","0.058"
"2","9","25","0.15000000000000002","""uniform""","62","0.12","0.002","""uniform""","0.28","""uniform""","""vaguely-speak""","0.6","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-1348419132""","0.171","0.171","0.171","0","0.171"
"2","10","25","0.15000000000000002","""uniform""","62","0.12","0.002","""uniform""","0.28","""uniform""","""vaguely-speak""","0.6","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-2088494734""","0.046","0.046","0.046","0","0.046"
"2","11","25","0.33","""uniform""","32","0.18","0.162","""uniform""","0.04","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1006903393""","0.942","0.942","0.942","0","0.942"
"2","12","25","0.33","""uniform""","32","0.18","0.162","""uniform""","0.04","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""882754110""","0.933","0.933","0.933","0","0.933"
"2","13","25","0.33","""uniform""","32","0.18","0.162","""uniform""","0.04","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1439404351""","0.981","0.981","0.981","0","0.981"
"2","14","25","0.33","""uniform""","32","0.18","0.162","""uniform""","0.04","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""636083154""","0.97","0.97","0.97","0","0.97"
"2","15","25","0.33","""uniform""","32","0.18","0.162","""uniform""","0.04","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-60628509""","0.965","0.965","0.965","0","0.965"
"2","16","25","0.37","""uniform""","14","0.24","0.548","""uniform""","0.29000000000000004","""uniform""","""vaguely-speak""","0.32","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-1368070620""","0","0","0","0","0"
"2","17","25","0.37","""uniform""","14","0.24","0.548","""uniform""","0.29000000000000004","""uniform""","""vaguely-speak""","0.32","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-1784259833""","0","0","0","0","0"
"2","18","25","0.37","""uniform""","14","0.24","0.548","""uniform""","0.29000000000000004","""uniform""","""vaguely-speak""","0.32","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-662551645""","0","0","0","0","0"
"2","19","25","0.37","""uniform""","14","0.24","0.548","""uniform""","0.29000000000000004","""uniform""","""vaguely-speak""","0.32","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-779894790""","0.01","0.01","0.01","0","0.01"
"2","20","25","0.37","""uniform""","14","0.24","0.548","""uniform""","0.29000000000000004","""uniform""","""vaguely-speak""","0.32","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1905320828""","0","0","0","0","0"
"2","21","25","0.15000000000000002","""uniform""","14","0.01","0.382","""uniform""","0.19","""uniform""","""vaguely-speak""","0.45999999999999996","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1535240342""","0.739","0.739","0.739","0","0.739"
"2","22","25","0.15000000000000002","""uniform""","14","0.01","0.382","""uniform""","0.19","""uniform""","""vaguely-speak""","0.45999999999999996","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""256386434""","0.616","0.616","0.616","0","0.616"
"2","23","25","0.15000000000000002","""uniform""","14","0.01","0.382","""uniform""","0.19","""uniform""","""vaguely-speak""","0.45999999999999996","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""527154289""","0.458","0.458","0.458","0","0.458"
"2","24","25","0.15000000000000002","""uniform""","14","0.01","0.382","""uniform""","0.19","""uniform""","""vaguely-speak""","0.45999999999999996","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-1070611126""","0.543","0.543","0.543","0","0.543"
